City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
75,Kumasi,GH,77.7,scattered clouds,6.6885,-1.6244,Okumah Hotels - kaase
78,Hearst,CA,70.05,broken clouds,49.6835,-83.6665,Companion
80,Yershov,RU,77.23,light rain,51.3513,48.2766,Gudok
81,Ewa Beach,US,81.59,few clouds,21.3156,-158.0072,Base Lodging
83,Ponta Do Sol,PT,75.0,scattered clouds,32.6667,-17.1,Hotel do Campo
86,Pekan,MY,77.11,scattered clouds,3.4836,103.3996,Pekan Budget Hotel
87,Kavieng,PG,81.09,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
88,Caravelas,BR,77.88,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
89,Tual,ID,77.09,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
91,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
97,Bumbesti-Jiu,RO,74.48,clear sky,45.1667,23.4,My Way
98,Decatur,US,80.98,broken clouds,39.8403,-88.9548,Haworth Cottage
101,Jiangyou,CN,77.05,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
106,Butaritari,KI,81.27,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
107,Corn Island,NI,83.12,overcast clouds,12.1694,-83.0418,Big Fish Guest House
108,Maragogi,BR,77.72,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
110,Sao Filipe,CV,77.59,scattered clouds,14.8961,-24.4956,Hotel Xaguate
114,Beyneu,KZ,82.54,clear sky,45.3167,55.2,NUR
120,Minsk,BY,76.75,few clouds,53.9,27.5667,Minsk Hotel
121,Padang,ID,78.26,broken clouds,-0.9492,100.3543,Mercure Padang
125,Yining,CN,81.97,broken clouds,29.0361,114.5636,Xiushui Hotel
126,Namatanai,PG,77.47,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
128,Tura,IN,80.28,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
129,San Lorenzo De El Escorial,ES,79.23,clear sky,40.5914,-4.1474,Hotel Florida - San Lorenzo de El Escorial
132,Tateyama,JP,77.41,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
138,Hithadhoo,MV,81.79,overcast clouds,-0.6,73.0833,Scoop Guest House
139,Lorengau,PG,80.13,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
144,Makat,KZ,84.09,broken clouds,47.6469,53.3463,Umit
147,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
148,Bozuyuk,TR,75.54,scattered clouds,39.9078,30.0367,Grand Çalı Otel
149,Buala,SB,78.85,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
156,Mwingi,KE,72.12,scattered clouds,-0.9344,38.0601,Thorn Tree by The Address
157,Gamba,GA,72.93,scattered clouds,-2.65,10.0,
159,Port Blair,IN,81.36,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
160,Ugep,NG,74.48,moderate rain,5.8086,8.0812,"Don Wills Club, Bar and Lodge/Hotel"
161,Bandarbeyla,SO,77.23,broken clouds,9.4942,50.8122,JABIR HOTEL
164,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
165,Pacific Grove,US,73.2,clear sky,36.6177,-121.9166,Lovers Point Inn
166,Hasaki,JP,73.8,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
169,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
173,Kijang,KR,73.13,overcast clouds,35.2442,129.2139,Samyang Beach Villa
174,Modasa,IN,77.49,few clouds,23.4667,73.3,HOTEL SUN SHINE
179,Bonthe,SL,78.17,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
182,Leshukonskoye,RU,71.6,scattered clouds,64.8989,45.7622,Pryalitsa Hostel
185,Puerto Baquerizo Moreno,EC,70.79,light intensity drizzle rain,-0.9,-89.6,Hotel los Algarrobos
191,Kudahuvadhoo,MV,82.08,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
192,Nara,JP,77.5,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
196,Honiara,SB,75.51,overcast clouds,-9.4333,159.95,Heritage Park Hotel
197,Tarakan,ID,76.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
198,Grand-Santi,GF,83.1,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
203,Luba,GQ,76.19,light rain,3.4568,8.5547,
204,Gbarnga,LR,78.19,light rain,6.9956,-9.4722,Passion Hotel 2
205,Meadow Lake,US,82.69,few clouds,34.8014,-106.5436,TumbleWeed RV Park
206,Estelle,US,82.99,broken clouds,29.8458,-90.1067,Ohio
208,Garissa,KE,78.15,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
210,Palmer,US,84.15,broken clouds,42.1584,-72.3287,Wedgewood Motel
215,Cape Coast,GH,74.75,broken clouds,5.1053,-1.2466,Samrit Hotel
217,Canora,CA,77.02,few clouds,51.6333,-102.4343,Canora Hotel
222,Ha Tinh,VN,78.17,broken clouds,18.3333,105.9,Phú Quý
223,Camopi,GF,84.2,broken clouds,3.1655,-52.3158,La pousada
224,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
225,Minot,US,75.42,scattered clouds,48.2325,-101.2963,Noble Inn
227,Shimoda,JP,74.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
228,Meulaboh,ID,77.23,broken clouds,4.1363,96.1285,Kost Pria
229,Labuhan,ID,77.47,clear sky,-6.8844,112.2051,DoubleFAG
230,Hobyo,SO,76.91,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
231,Karachi,PK,82.22,smoke,24.9056,67.0822,Sadaat
232,Norman Wells,CA,71.64,broken clouds,65.282,-126.8329,Heritage Hotel
236,Bac Lieu,VN,79.93,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
238,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
240,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
242,Ailigandi,PA,84.29,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
243,Endicott,US,82.36,clear sky,42.0984,-76.0494,Knights Inn Endwell
247,Guerrero Negro,MX,80.04,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
249,Kalmunai,LK,78.22,overcast clouds,7.4167,81.8167,VS Villa
250,Marsa Matruh,EG,80.62,clear sky,31.3525,27.2453,Beau Site
251,Nurota,UZ,76.15,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
253,Bacolod,PH,77.56,moderate rain,10.6667,122.95,Planta Hotel & Residences
258,Betanzos,ES,70.63,few clouds,43.2804,-8.2147,Hotel Garelos Betanzos
259,Fort-Shevchenko,KZ,83.16,clear sky,44.5086,50.263,Oasis hotel Bautino
271,Svetlyy,RU,76.96,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
273,Ofaqim,IL,75.7,clear sky,31.3141,34.6203,The Negev Experience
275,Quang Ngai,VN,77.65,light rain,15.1167,108.8,Central Hotel
277,Almaznyy,RU,77.43,scattered clouds,48.0448,40.045,
280,Xiongzhou,CN,78.98,clear sky,25.1167,114.3,Xinhewan Business Hotel
284,Sovetsk,RU,75.54,overcast clouds,55.0839,21.8785,Гостинично-развлекательный комплекс KRONUS
287,Mayumba,GA,71.73,broken clouds,-3.432,10.6554,LIKWALE LODGE
289,Dwarka,IN,80.83,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
290,Chor,PK,79.88,overcast clouds,25.5167,69.7667,Asad U Bajeer Hotel
292,Provost,CA,79.25,clear sky,52.3501,-110.2683,Canalta Hotel Provost
294,Dondo,MZ,71.11,clear sky,-19.6094,34.7431,Pensao Casual
295,Guiglo,CI,77.29,overcast clouds,6.5456,-7.4966,Hotel GBAOLY 2
296,Ugoofaaru,MV,80.96,scattered clouds,5.6667,73.0,Ungoofaaru Inn
302,Vanimo,PG,76.73,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
307,Lata,PT,82.49,clear sky,40.1629,-8.3327,Casa Maquia
308,Mattru,SL,77.85,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
312,Borger,NL,72.82,broken clouds,52.9233,6.7931,Roompot Bospark Lunsbergen
314,Lagoa,PT,70.95,scattered clouds,39.05,-27.9833,Casa Das Faias
315,Movila,RO,80.51,scattered clouds,44.55,27.7,
316,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
317,Bengkulu,ID,75.13,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
318,Dingle,PH,74.89,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
322,Manokwari,ID,77.09,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
323,Broome,US,82.02,clear sky,42.2506,-75.833,Chenango Valley State Park
324,Sambava,MG,70.18,light rain,-14.2667,50.1667,Melrose
327,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
328,Hami,CN,74.68,clear sky,42.8,93.45,Laoyutang Resort
329,Faanui,PF,78.73,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
332,Santa Cruz De Tenerife,ES,79.88,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
334,Sehithwa,BW,70.63,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
336,Banda Aceh,ID,79.7,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
338,Lompoc,US,84.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
340,Abu Samrah,SY,84.47,clear sky,35.3029,37.1841,
343,Pringsewu,ID,72.12,clear sky,-5.3582,104.9744,Urban Style by Front One
344,Rawalpindi,PK,83.23,few clouds,33.6007,73.0679,Hotel Akbar International
345,Mtama,TZ,70.09,few clouds,-10.3,39.3667,
346,Karratha,AU,71.02,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
347,Kapoeta,SS,79.32,scattered clouds,4.7717,33.5903,Eastgate Hotel
353,Saurimo,AO,75.33,scattered clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
354,Touros,BR,82.11,few clouds,-5.1989,-35.4608,INN NEW HORIZON
356,San Cristobal,VE,84.38,clear sky,7.7669,-72.225,Pirineos
357,Katsuura,JP,76.84,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
359,Eydhafushi,MV,80.55,scattered clouds,5.1033,73.0708,Soneva Fushi
360,Klitos,GR,81.32,clear sky,40.4333,21.8667,
362,Qiongshan,CN,78.78,clear sky,20.0058,110.3542,Sun City Restaurant
363,Kota Bahru,MY,76.95,few clouds,6.1333,102.2386,Grand Riverview Hotel
364,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
366,Nishihara,JP,84.25,few clouds,26.1842,127.7558,Minshuku Agaihama
369,Half Moon Bay,US,84.88,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
370,Tonj,SS,71.82,moderate rain,7.2737,28.6822,Lakan Hotel
371,Hamilton,US,84.74,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
372,Karpathos,GR,78.76,few clouds,35.507,27.2132,Alex
374,Finschhafen,PG,77.63,broken clouds,-6.6024,147.8681,Cossam Guest House
379,Flin Flon,CA,76.84,smoke,54.7682,-101.865,Victoria Inn Flin Flon
381,Caxito,AO,71.42,clear sky,-8.5785,13.6643,
388,Roma,US,80.73,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
393,Darnah,LY,81.19,clear sky,32.767,22.6367,فندق الفردوس
401,Fort Nelson,CA,72.99,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
405,Saint Paul,US,80.11,scattered clouds,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
407,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
408,Lagos De Moreno,MX,77.29,scattered clouds,21.35,-101.9167,Scala Hotel
410,Kamenka,RU,70.86,overcast clouds,51.3223,42.7678,
411,Mansa,IN,84.87,broken clouds,29.9833,75.3833,STARiHOTEL Mansa
414,Beckley,US,78.69,few clouds,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
415,Belmonte,BR,74.98,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
416,Eureka,US,81.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
418,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
420,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
421,Abeche,TD,79.47,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
424,Fare,PF,77.95,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
425,Shagamu,NG,73.96,moderate rain,6.8432,3.6478,Remo Majestic Hotel
426,Nikki,BJ,75.06,light rain,9.9401,3.2108,Monnon
427,San Quintin,MX,75.34,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
