City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Punta Arenas,CL,2022-08-18 04:56:03,-53.15,-70.9167,37.51,75,100,14.97
112,Bermeo,ES,2022-08-18 04:56:03,43.4209,-2.7215,64.81,77,100,18.66
113,Aguililla,MX,2022-08-18 04:56:04,18.7333,-102.7333,65.82,94,99,3.74
114,Buta,CD,2022-08-18 04:56:05,2.7858,24.73,67.35,95,100,1.05
115,Lompoc,US,2022-08-18 04:55:16,34.6391,-120.4579,60.53,95,100,5.75
116,Lere,NG,2022-08-18 04:56:06,10.387,8.5726,66.63,99,100,1.48
117,Bilma,NE,2022-08-18 04:56:06,18.6853,12.9164,86.49,19,9,5.3
118,Ponnani,IN,2022-08-18 04:56:07,10.767,75.9252,83.52,72,40,11.32
119,Xichang,CN,2022-08-18 04:56:07,27.8964,102.2634,82.6,62,92,2.68
120,Yar-Sale,RU,2022-08-18 04:56:09,66.8333,70.8333,51.42,75,100,13.96
121,Santa Isabel Do Rio Negro,BR,2022-08-18 04:56:09,-0.4139,-65.0192,74.57,90,65,0.94
122,Talnakh,RU,2022-08-18 04:56:10,69.4865,88.3972,54.21,50,15,20.42
123,La Ronge,CA,2022-08-18 04:56:10,55.1001,-105.2842,62.85,88,75,2.3
124,Hobyo,SO,2022-08-18 04:56:11,5.3505,48.5268,79.11,70,38,20.65
125,Norman Wells,CA,2022-08-18 04:56:12,65.282,-126.8329,77.04,44,75,8.05
126,Jaggayyapeta,IN,2022-08-18 04:56:12,16.9,80.1,88.29,62,100,12.59
127,Luganville,VU,2022-08-18 04:56:13,-15.5333,167.1667,80.26,80,90,3.36
128,Nikolayevka,RU,2022-08-18 04:56:13,53.1257,47.2041,71.82,48,100,12.5
129,Utraula,IN,2022-08-18 04:56:14,27.3167,82.4167,93.42,50,43,12.26
130,Amasia,TR,2022-08-18 04:56:14,40.6533,35.8331,71.33,79,13,1.68
131,Kralovice,CZ,2022-08-18 04:56:15,49.9819,13.4875,71.73,61,76,3.06
132,Puerto Ayora,EC,2022-08-18 04:56:16,-0.7393,-90.3518,69.55,88,71,3.0
133,Annau,TM,2022-08-18 04:56:16,37.8876,58.516,80.1,18,0,11.5
134,Bijie,CN,2022-08-18 04:56:17,27.3125,105.2942,82.08,58,75,12.28
135,Antalaha,MG,2022-08-18 04:56:17,-14.9003,50.2788,70.99,69,17,5.95
136,Riegelsberg,DE,2022-08-18 04:56:18,49.3,6.9333,64.49,92,20,8.05
137,Nang Rong,TH,2022-08-18 04:57:18,14.6377,102.7914,88.65,58,68,9.24
138,Riberalta,BO,2022-08-18 04:57:19,-10.9833,-66.1,80.37,61,74,4.03
139,Kyabe,TD,2022-08-18 04:57:19,9.4515,18.9449,69.85,99,100,3.36
140,Lawrence,US,2022-08-18 04:56:57,38.9717,-95.2353,70.48,80,8,3.31
141,Bagli,IN,2022-08-18 04:57:21,22.65,76.35,77.63,81,78,11.65
142,Kungurtug,RU,2022-08-18 04:57:21,50.5994,97.5228,58.77,38,76,2.98
143,Fort Nelson,CA,2022-08-18 04:57:22,58.8053,-122.7002,71.19,68,40,2.3
144,Geraldton,AU,2022-08-18 04:57:22,-28.7667,114.6,63.01,55,75,13.8
