City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Marsa Matruh,EG,31.3525,27.2453,80.62,75,0,9.89,clear sky
251,Nurota,UZ,40.5614,65.6886,76.15,16,0,16.4,clear sky
252,Srednekolymsk,RU,67.45,153.6833,51.53,74,93,10.13,overcast clouds
253,Bacolod,PH,10.6667,122.95,77.56,86,100,5.26,moderate rain
254,Jardim,BR,-21.4803,-56.1381,58.48,94,100,14.32,light rain
255,Jiuquan,CN,39.7432,98.5174,68.58,49,55,1.63,broken clouds
256,Westport,US,41.1415,-73.3579,87.28,45,75,13.8,broken clouds
257,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,19.57,light rain
258,Betanzos,ES,43.2804,-8.2147,70.63,71,20,9.22,few clouds
259,Fort-Shevchenko,KZ,44.5086,50.263,83.16,34,1,9.55,clear sky
260,Kruisfontein,ZA,-34.0033,24.7314,54.88,83,99,11.18,light rain
261,Monte Alegre,BR,-2.0078,-54.0692,96.37,32,8,4.21,clear sky
262,Coihaique,CL,-45.5752,-72.0662,49.95,66,75,3.44,broken clouds
263,Broken Hill,AU,-31.95,141.4333,46.06,82,55,17.45,broken clouds
264,Port Lincoln,AU,-34.7333,135.8667,51.4,72,14,11.79,few clouds
265,Pangnirtung,CA,66.1451,-65.7125,42.8,87,75,12.66,broken clouds
266,Staryy Nadym,RU,65.6118,72.6842,48.49,83,100,9.71,overcast clouds
267,Beloha,MG,-25.1667,45.05,62.62,80,15,1.39,few clouds
268,Saskylakh,RU,71.9167,114.0833,36.79,88,100,13.89,overcast clouds
269,Vostok,RU,46.4856,135.8833,58.71,74,88,4.81,overcast clouds
270,Canutama,BR,-6.5339,-64.3831,92.55,47,27,0.98,scattered clouds
271,Svetlyy,RU,54.675,20.1347,76.96,56,99,6.73,overcast clouds
272,Ahipara,NZ,-35.1667,173.1667,63.36,95,100,20.89,light rain
273,Ofaqim,IL,31.3141,34.6203,75.7,61,0,6.89,clear sky
274,Lima,PE,-12.0432,-77.0282,59.25,77,100,5.75,overcast clouds
275,Quang Ngai,VN,15.1167,108.8,77.65,88,79,4.38,light rain
276,Chicama,PE,-7.8447,-79.1469,61.34,59,43,10.78,scattered clouds
277,Almaznyy,RU,48.0448,40.045,77.43,49,49,5.91,scattered clouds
278,Chumikan,RU,54.7183,135.315,56.05,80,89,14.16,overcast clouds
279,Celestun,MX,20.8667,-90.4,86.31,63,85,6.78,overcast clouds
280,Xiongzhou,CN,25.1167,114.3,78.98,82,6,2.57,clear sky
281,Ancud,CL,-41.8697,-73.8203,45.52,94,100,11.36,light rain
282,Koryazhma,RU,61.3143,47.1691,65.68,77,52,5.23,broken clouds
283,Kachiry,KZ,53.0675,76.1036,49.84,91,100,12.46,light rain
284,Sovetsk,RU,55.0839,21.8785,75.54,68,99,5.66,overcast clouds
285,Fortuna,US,40.5982,-124.1573,63.52,91,100,9.22,overcast clouds
286,Camana,PE,-16.6228,-72.7111,63.23,74,54,10.58,broken clouds
287,Mayumba,GA,-3.432,10.6554,71.73,90,60,6.73,broken clouds
288,Ugra,RU,54.7777,34.3267,67.46,67,2,5.53,clear sky
289,Dwarka,IN,22.2394,68.9678,80.83,89,100,15.01,overcast clouds
290,Chor,PK,25.5167,69.7667,79.88,86,100,10.42,overcast clouds
291,Oussouye,SN,12.485,-16.5469,86.18,73,77,11.18,broken clouds
292,Provost,CA,52.3501,-110.2683,79.25,40,6,1.77,clear sky
293,Asyut,EG,27.181,31.1837,91.31,19,0,7.34,clear sky
294,Dondo,MZ,-19.6094,34.7431,71.11,60,4,7.18,clear sky
295,Guiglo,CI,6.5456,-7.4966,77.29,76,100,2.71,overcast clouds
296,Ugoofaaru,MV,5.6667,73.0,80.96,77,35,5.91,scattered clouds
297,Flinders,AU,-34.5833,150.8552,62.38,74,100,1.99,overcast clouds
298,Goianesia,BR,-15.3175,-49.1175,91.98,17,1,6.69,clear sky
299,Amapa,BR,1.0,-52.0,88.09,50,30,4.63,very heavy rain
300,Bonavista,CA,48.6499,-53.1147,59.59,93,100,9.37,light rain
301,Cozumel,MX,20.5083,-86.9458,86.07,74,75,6.91,broken clouds
302,Vanimo,PG,-2.6741,141.3028,76.73,89,90,3.47,overcast clouds
303,Punta De Piedra,VE,7.6176,-71.4916,89.56,49,0,4.63,clear sky
304,Pisco,PE,-13.7,-76.2167,65.01,77,69,12.66,haze
305,Cairns,AU,-16.9167,145.7667,60.06,89,9,13.8,clear sky
306,Itarema,BR,-2.9248,-39.9167,85.1,55,59,18.05,broken clouds
307,Lata,PT,40.1629,-8.3327,82.49,41,3,8.61,clear sky
308,Mattru,SL,7.6244,-11.8332,77.85,82,91,6.73,overcast clouds
309,Qaqortoq,GL,60.7167,-46.0333,46.96,55,0,3.51,clear sky
310,Barrow,US,71.2906,-156.7887,42.82,75,100,24.16,light rain
311,Khartoum,SD,15.5518,32.5324,91.89,40,16,9.17,few clouds
312,Borger,NL,52.9233,6.7931,72.82,74,56,7.58,broken clouds
313,Lebu,CL,-37.6167,-73.65,50.86,69,7,14.56,clear sky
